epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,5414.37,1.02898,0.59993,0.99323,0.94019,0.92776,0.9602,0.75495,0.74817,0.40795,0.88732,0.0051985,0.0051985,0.0051985
99,5469.39,1.02606,0.6009,0.99335,0.94346,0.92679,0.95963,0.7556,0.74757,0.40728,0.88678,0.005149,0.005149,0.005149
100,5524.32,1.03312,0.59927,0.99787,0.94185,0.92592,0.95957,0.75532,0.74686,0.40637,0.88656,0.0050995,0.0050995,0.0050995
101,5579.27,1.0207,0.59727,0.99205,0.94161,0.92578,0.95966,0.75546,0.7455,0.40562,0.88612,0.00505,0.00505,0.00505
102,5634.24,1.0237,0.59502,0.99469,0.94016,0.92651,0.95946,0.75589,0.74395,0.4054,0.88592,0.0050005,0.0050005,0.0050005
103,5689.13,1.02073,0.59562,0.99219,0.93956,0.92671,0.95946,0.7568,0.74307,0.40536,0.88557,0.004951,0.004951,0.004951
104,5743.96,1.02274,0.59401,0.99278,0.94081,0.92668,0.95965,0.75751,0.74291,0.40504,0.8854,0.0049015,0.0049015,0.0049015
105,5798.96,1.01238,0.59077,0.9877,0.94085,0.92676,0.9597,0.75745,0.74193,0.40457,0.88514,0.004852,0.004852,0.004852
106,5853.97,1.01547,0.5898,0.99053,0.94034,0.92722,0.95988,0.75798,0.74179,0.40344,0.88485,0.0048025,0.0048025,0.0048025
107,5908.96,1.01233,0.58496,0.98926,0.93645,0.92953,0.95979,0.75796,0.7412,0.40295,0.88454,0.004753,0.004753,0.004753
108,5963.9,1.00426,0.58239,0.98821,0.93649,0.93018,0.95993,0.75682,0.74048,0.40214,0.88438,0.0047035,0.0047035,0.0047035
109,6018.79,1.00972,0.58273,0.98897,0.93748,0.92972,0.96095,0.75667,0.73974,0.40199,0.88401,0.004654,0.004654,0.004654
110,6073.74,1.00601,0.58333,0.98583,0.93886,0.92758,0.961,0.75678,0.73878,0.40174,0.88373,0.0046045,0.0046045,0.0046045
111,6128.72,1.00826,0.587,0.98737,0.94071,0.92668,0.96098,0.75823,0.73822,0.40055,0.8834,0.004555,0.004555,0.004555
112,6183.66,1.00437,0.5803,0.98599,0.94094,0.92695,0.96105,0.75862,0.73727,0.40021,0.8829,0.0045055,0.0045055,0.0045055
113,6238.69,1.00086,0.58196,0.98442,0.9399,0.92747,0.96116,0.7584,0.73639,0.39954,0.88262,0.004456,0.004456,0.004456
114,6293.67,0.9995,0.57609,0.98359,0.93992,0.9277,0.96138,0.75874,0.73528,0.39907,0.88219,0.0044065,0.0044065,0.0044065
115,6348.64,1.00102,0.57867,0.9852,0.93986,0.92827,0.9613,0.75805,0.73431,0.39802,0.8818,0.004357,0.004357,0.004357
116,6403.58,0.99493,0.5764,0.98209,0.94146,0.92834,0.9617,0.75898,0.7331,0.39724,0.88118,0.0043075,0.0043075,0.0043075
117,6458.52,0.99378,0.569,0.98169,0.94185,0.92829,0.96166,0.75897,0.73202,0.39664,0.88084,0.004258,0.004258,0.004258
118,6513.45,0.98956,0.57135,0.98052,0.94276,0.92767,0.96161,0.75902,0.73073,0.3965,0.88046,0.0042085,0.0042085,0.0042085
119,6568.34,0.98804,0.56716,0.98203,0.94269,0.92778,0.9617,0.7591,0.72989,0.39627,0.88016,0.004159,0.004159,0.004159
120,6623.22,0.98686,0.56689,0.97936,0.94204,0.92669,0.96169,0.75891,0.72904,0.39524,0.87969,0.0041095,0.0041095,0.0041095
121,6678.18,0.98243,0.56161,0.97617,0.94176,0.92601,0.9615,0.75962,0.72893,0.39544,0.87943,0.00406,0.00406,0.00406
122,6733.17,0.98584,0.56454,0.97929,0.94199,0.92467,0.96164,0.76072,0.72804,0.39451,0.87905,0.0040105,0.0040105,0.0040105
123,6788.25,0.98353,0.56519,0.9788,0.94146,0.92366,0.9618,0.76064,0.72653,0.39387,0.87862,0.003961,0.003961,0.003961
124,6843.15,0.98103,0.56477,0.97782,0.93906,0.92439,0.9619,0.76019,0.72551,0.39285,0.87826,0.0039115,0.0039115,0.0039115
125,6898.07,0.97857,0.56375,0.97662,0.9396,0.92625,0.96176,0.761,0.72508,0.392,0.87822,0.003862,0.003862,0.003862
126,6953.08,0.97296,0.55605,0.97232,0.93942,0.92621,0.96195,0.76109,0.72472,0.3918,0.8779,0.0038125,0.0038125,0.0038125
127,7008.03,0.97959,0.56257,0.97493,0.93881,0.92761,0.96199,0.7615,0.72384,0.39084,0.87771,0.003763,0.003763,0.003763
128,7062.87,0.97501,0.55815,0.9756,0.93524,0.93091,0.96213,0.76212,0.72249,0.39003,0.87722,0.0037135,0.0037135,0.0037135
129,7117.88,0.97095,0.55365,0.97296,0.92607,0.93992,0.96222,0.76224,0.72226,0.3889,0.87712,0.003664,0.003664,0.003664
130,7172.89,0.97217,0.55553,0.97487,0.93516,0.9319,0.9623,0.76324,0.72122,0.38799,0.87672,0.0036145,0.0036145,0.0036145
131,7227.85,0.96844,0.55185,0.97231,0.93383,0.93584,0.96249,0.76336,0.72114,0.38731,0.87658,0.003565,0.003565,0.003565
132,7282.74,0.96596,0.55069,0.9715,0.93602,0.93666,0.96261,0.76448,0.72076,0.38666,0.87616,0.0035155,0.0035155,0.0035155
133,7337.76,0.96436,0.5479,0.96919,0.93643,0.93525,0.96284,0.76444,0.71981,0.38612,0.87582,0.003466,0.003466,0.003466
134,7392.62,0.95731,0.54429,0.96586,0.93732,0.93592,0.96286,0.7647,0.71882,0.38503,0.87561,0.0034165,0.0034165,0.0034165
